Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
25 MS1025,EFT,0.3153151,0.74415,180,IP180,24.22,"In about 6 months I am at Mt. Rushmore with my two daughters, Suzi and Samantha, and my husband, Kevin.I am taking in the sights around and at Mt. Rushmore.I am amazed by the greatness of the mountain.I am enjoying the cool breeze in the warm summer air.I am feeling happiness in seeing my children learn about and experience the history of Mt. Rushmore.","In about 6 months I am at Mt. Rushmore with my two daughters, Suzi and Samantha, and my husband, Kevin.I am taking in the sights around and at Mt. Rushmore.I am amazed by the greatness of the mountain.I am enjoying the cool breeze in the warm summer air.I am feeling happiness in seeing my children learn about and experience the history of Mt. Rushmore.",68,91.79,23.11,99,99,17,20.59,86.76,52.94,11.76,11.76,11.76,0,0,0,0,0,8.82,19.12,7.35,4.41,5.88,0,13.24,2.94,0,0,2.94,0,8.82,8.82,0,0,0,0,4.41,2.94,0,1.47,1.47,2.94,2.94,0,0,0,0,0,8.82,2.94,0,4.41,0,0,0,0,0,5.88,1.47,0,2.94,1.47,0,0,8.82,0,20.59,4.41,11.76,4.41,1.47,0,0,0,0,0,1.47,0,0,1.47,0,0,16.18,11.76,4.41,0,0,0,0,0,0,0,0,0
114 MS1114,ERT,0.9204658,0.920465753,365,IP365,80.46,About 288 hours ago I was transplanting my baby cacti. I was by myself and I have hundreds of cacti that all needed to be put into larger pots. I was mixing up soil and sand and filled all the small pots. Plants and very important and enjoyable to me.,About 288 hours ago I was transplanting my baby cacti. I was by myself and I have hundreds of cacti that all needed to be put into larger pots. I was mixing up soil and sand and filled all the small pots. Plants are very important and quite enjoyable for me.,51,42.68,11.97,85.89,90.49,12.75,7.84,82.35,52.94,15.69,13.73,13.73,0,0,0,0,1.96,1.96,13.73,11.76,3.92,7.84,0,15.69,3.92,1.96,0,3.92,3.92,3.92,3.92,0,0,0,0,1.96,1.96,0,0,0,7.84,0,0,1.96,1.96,3.92,0,1.96,0,0,1.96,0,0,0,0,0,7.84,0,0,7.84,0,0,9.8,5.88,0,15.69,1.96,9.8,3.92,0,0,0,0,0,0,0,0,0,0,0,0,7.84,7.84,0,0,0,0,0,0,0,0,0,0
113 MS1113,ERT,0.2989041,0.29890411,30,IP30,50,About 24 hours ago at 9:30 pm I was watching Madam Secretary on DVR and enjoying time with my son Noah. We were talking aboutcollege options and computer requirements needed for engineering students.,About 24 hours ago at 9:30 pm I was watching Madam Secretary on DVR and enjoying time with my son Noah. We were talking about college options and computer requirements needed for engineering students.,35,81.17,80.42,26,78.19,17.5,28.57,82.86,37.14,8.57,8.57,5.71,2.86,0,0,0,0,0,17.14,5.71,5.71,5.71,0,14.29,0,0,0,8.57,0,2.86,2.86,0,0,0,0,11.43,2.86,0,2.86,2.86,5.71,0,0,2.86,2.86,0,0,2.86,2.86,0,0,0,0,0,0,0,8.57,2.86,0,5.71,0,0,11.43,0,0,14.29,0,5.71,8.57,14.29,2.86,0,0,0,0,0,0,0,0,0,0,8.57,5.71,0,2.86,0,0,0,0,0,0,0,0
117 MS1117,ERT,0.621726,0.621726027,180,IP180,74.22,"About 144 hours ago I was meeting with members of my family to celebrate the 85th birthday of my wife's grandfather.We all gathered at his home and shared dinner and cake. I was happy and amazed at how well he was doing for his age, especially being able to blow out the candles. The family laughed about memories we all had with each other.
 
 I tasted the cake and it was delicious. I helped my wife in the kitchen after the party, cleaning dishes and putting them away to help her grandparents from having to do it. I felt very blessed to still have the family together.","""About 144 hours ago I was meeting with members of my family to celebrate the 85th birthday of my wife's grandfather. We all gathered at his home and shared dinner and cake. I was happy and amazed at how well he was doing for his age, especially being able to blow out the candles. The family laughed about memories we all had with each other. I tasted the cake and it was delicious. I helped my wife in the kitchen after the party, cleaning dishes and putting them away to help her grandparents from having to do it. I felt very blessed to still have the family together.""",108,69.3,91.75,33.94,99,15.43,15.74,97.22,59.26,16.67,13.89,7.41,1.85,0,3.7,0.93,2.78,6.48,17.59,9.26,6.48,5.56,0,13.89,1.85,0.93,0.93,0.93,2.78,7.41,7.41,0,0,0,0,20.37,6.48,0,2.78,4.63,6.48,1.85,0.93,0,0,2.78,0.93,4.63,0.93,0.93,0.93,6.48,0,0,0,6.48,14.81,12.96,1.85,1.85,0,0,9.26,1.85,0,12.04,0.93,5.56,5.56,0.93,4.63,4.63,0,0.93,0,0.93,0,0,0,0.93,0,11.11,6.48,1.85,0,0,0,0,0,1.85,0.93,0,0
121 MS1121,ERT,0.3130411,0.313041096,365,IP365,5.46,"About 200 hours ago I was out to dinner. I was out at the local steakhouse with my wife's family members. I go there from time to time with them and it's always a great time. I ordered the loaded cheese fries because I am cheap. The cheese fries are very good, and unhealthy. I was the one driving tonight, we took the neighbors new chevy car.","About 200 hours ago I was out to dinner. I was out at the local steakhouse with my wife's family members. I go there from time to time with them and it's always a great time. I ordered the loaded cheese fries because I am cheap. The cheese fries are very good, and unhealthy. I was the one driving tonight; we took the neighbors new Chevy car.",67,77.34,50,98.62,80.01,11.17,11.94,92.54,52.24,14.93,13.43,10.45,1.49,0,0,1.49,1.49,8.96,13.43,8.96,4.48,4.48,0,11.94,2.99,0,0,2.99,0,2.99,2.99,0,0,0,0,8.96,2.99,1.49,1.49,0,2.99,0,1.49,0,0,1.49,0,0,0,0,0,8.96,0,1.49,0,7.46,13.43,7.46,0,1.49,4.48,0,7.46,5.97,1.49,23.88,4.48,7.46,11.94,0,1.49,2.99,1.49,0,0,0,0,0,0,0,0,14.93,8.96,1.49,0,1.49,0,0,0,0,2.99,0,0
112 MS1112,ERT,0.895863,0.895863014,30,IP30,89.84,About 24 hours ago I was at work and received great news from my boss Frank that a new frosting project I was working on was approved to move forward.This was significant because there had been several set backs and thoughts that this project might get axed.Frank let me know that the vanilla frosting was so well liked that management was going to fast track it to production.,About 24 hours ago I was at work and received great news from my boss Frank that a new frosting projects I was working on was approved to move forward.This was significant because there had been several setbacks and thoughts that this project might get axed.Frank let me know that the vanilla frosting was so well liked that management was going to fast track it to production.,69,28.3,33.19,64.25,98.72,69,23.19,84.06,52.17,15.94,5.8,5.8,0,0,0,0,10.14,2.9,10.14,14.49,5.8,5.8,0,23.19,2.9,0,0,1.45,1.45,5.8,5.8,0,0,0,0,1.45,0,0,0,0,7.25,2.9,2.9,0,1.45,0,0,0,0,0,0,0,0,0,0,0,10.14,0,2.9,4.35,2.9,0,14.49,5.8,2.9,14.49,7.25,4.35,8.7,10.14,0,0,0,0,0,1.45,0,0,0,1.45,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0
52 MS1052,EFT,0.907726,0.907726027,180,IP180,86.72,"In about 6 months I am in Florida. I am with my wife, father and stepmom. We are sitting poolside with a cool drink laughing and joking.","In about 6 months I am in Florida. I am with my wife, father and stepmom. We are sitting poolside with a cool drink laughing and joking.",27,66.94,64.46,79.42,99,9,18.52,88.89,55.56,14.81,14.81,11.11,3.7,0,0,0,0,3.7,18.52,11.11,3.7,7.41,0,14.81,3.7,0,0,3.7,0,11.11,11.11,0,0,0,0,11.11,7.41,0,3.7,3.7,0,0,0,0,0,0,0,7.41,0,3.7,3.7,3.7,0,0,0,3.7,7.41,7.41,0,0,0,0,0,11.11,0,14.81,0,11.11,3.7,0,11.11,0,0,0,0,3.7,0,0,3.7,0,0,14.81,11.11,3.7,0,0,0,0,0,0,0,0,0
43 MS1043,EFT,0.8180274,0.818027397,30,IP30,89.84,"In about a month, I am watchinga new episode of my favorite TV show, The Walking Dead. I am with a few friends, it is the first new episode of the season, and we are psyched!We have made a dinner party out of the evening, to celebrate. The episode is tense but exciting, as promised.","In about a month, I am watching a new episode of my favorite TV show, The Walking Dead. I am with a few friends, it is the first new episode of the season, and we are psyched!We have made a dinner party out of the evening, to celebrate. The episode is tense but exciting, as promised.",57,95.96,70.08,61.85,97.58,19,21.05,92.98,56.14,10.53,8.77,5.26,3.51,0,0,0,1.75,15.79,15.79,10.53,1.75,5.26,0,15.79,10.53,1.75,0,1.75,1.75,8.77,7.02,1.75,1.75,0,0,8.77,0,1.75,0,0,5.26,0,1.75,0,0,1.75,1.75,3.51,3.51,0,0,1.75,0,0,0,1.75,12.28,8.77,3.51,0,1.75,0,1.75,10.53,0,15.79,1.75,3.51,10.53,0,5.26,0,0,0,1.75,0,0,0,0,0,0,17.54,5.26,10.53,0,0,0,1.75,0,0,0,0,0
129 MS1129,ERT,0.6187397,0.618739726,30,IP30,80.46,"About 24 hours ago I was reading a biography of the poet Ted Hughes and enjoying it very much. I was sitting in my den, on the couch where I usually sit when reading. I was engrossed in what I was reading, enjoying the book quite a bit. My husband Steve was also in the room, reading the newspaper. I felt relaxed and interested, focused on what I was reading.","About 24 hours ago I was reading a biography of the poet Ted Hughes and enjoying it very much. I was sitting in my den, on the couch where I usually sit when reading. I was engrossed in what I was reading, enjoying the book quite a bit. My husband Steve was also in the room, reading the newspaper. I felt relaxed and interested, focused on what I was reading.",70,52.71,12.66,97.55,98.56,14,22.86,87.14,55.71,17.14,12.86,12.86,0,0,0,0,4.29,10,10,8.57,8.57,5.71,0,20,0,0,5.71,1.43,2.86,5.71,5.71,0,0,0,0,1.43,1.43,0,0,1.43,4.29,1.43,0,0,2.86,0,0,1.43,0,0,1.43,0,0,0,0,0,1.43,1.43,0,0,0,0,11.43,1.43,0,18.57,0,12.86,5.71,1.43,2.86,4.29,0,0,0,0,0,0,0,0,0,12.86,7.14,5.71,0,0,0,0,0,0,0,0,0
27 MS1027,EFT,0.3011233,0.411175,30,IP30,49.22,"In about, one month, I am bowling with my team to defend our league championship. I am with Mike, Jeff and Jaime who are my teammates. I am jittery and excited while I sit at our lane waiting to start the bowling night. I am feeling determinedand rememberingall of the things that I have worked on to improve my game during the course of the season. I am remembering how all my hard work is part of why we are here today. I am staring down lane five imaging having a great night.","In about, one month, I am bowling with my team to defend our league championship. I am with Mike, Jeff and Jaime who are my teammates. I am jittery and excited while I sit at our lane waiting to start the bowling night. I am feeling determinedand remembering all of the things that I have worked on to improve my game during the course of the season. I am remembering how all my hard work is part of why we are here today. I am staring down lane five imaging having a great night.",94,55.11,41.59,96.52,82.79,15.67,14.89,92.55,57.45,19.15,15.96,12.77,3.19,0,0,0,3.19,5.32,14.89,11.7,4.26,4.26,0,21.28,3.19,0,3.19,2.13,3.19,5.32,4.26,1.06,0,0,0,7.45,0,0,0,0,8.51,4.26,2.13,0,0,2.13,0,3.19,1.06,0,2.13,0,0,0,0,0,15.96,7.45,6.38,2.13,2.13,1.06,3.19,14.89,0,14.89,0,5.32,9.57,6.38,5.32,0,0,0,0,0,0,0,0,0,0,9.57,6.38,3.19,0,0,0,0,0,0,0,0,0
73 MS1073,EFT,0.3690411,0.369041096,180,IP180,39.84,In just under three months I am at the Pensacola beach with my girlfriend. We're sitting together eating chocolate covered strawberries and watching the sun go down about 7 pm. Sunset is our favorite time together and when the sun hits the water just right it lights up the whole beach.,In just under three months I am at the Pensacola beach with my girlfriend. We're sitting together eating chocolate covered strawberries and watching the sun go down about 7 pm. Sunset is our favorite time together and when the sun hits the water just right it lights up the whole beach.,51,88.79,83.66,99,62.94,17,19.61,88.24,47.06,9.8,7.84,3.92,3.92,0,0,0,1.96,9.8,13.73,3.92,7.84,5.88,0,13.73,1.96,0,1.96,3.92,1.96,1.96,1.96,0,0,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,3.92,3.92,0,0,5.88,0,0,0,5.88,15.69,9.8,0,5.88,0,0,0,7.84,0,31.37,1.96,17.65,11.76,0,3.92,0,0,0,0,0,0,0,0,0,0,7.84,5.88,0,0,0,0,0,0,0,1.96,0,0
36 MS1036,EFT,0.9765205,0.976520548,30,IP30,94.54,In about 1 month I am at a LAN party with my buddy Steve and Andy at Andy's house. We're playing some old school games from the 90's on our huge monitors. I am have a lot of fun shooting rockets everywhere!,In about 1 month I am at a LAN party with my buddy Steve and Andy at Andy's house. We're playing some old school games from the 90's on our huge monitors. I am having a lot of fun shooting rockets everywhere!,43,93.26,82.39,77.74,99,14.33,11.63,76.74,48.84,11.63,11.63,6.98,4.65,0,0,0,0,6.98,18.6,6.98,4.65,2.33,0,11.63,2.33,0,0,4.65,4.65,6.98,6.98,0,0,0,0,11.63,0,2.33,0,2.33,6.98,0,0,0,4.65,2.33,0,0,0,0,0,0,0,0,0,0,13.95,11.63,0,2.33,0,0,0,6.98,0,18.6,0,13.95,4.65,2.33,9.3,2.33,0,0,0,0,0,0,0,0,0,13.95,4.65,0,0,0,0,2.33,0,0,6.98,0,0
